Entity,Code,Year,Life satisfaction in Cantril Ladder (World Happiness Report 2021),Prevalence - Depressive disorders - Sex: Both - Age: All Ages (Number),Prevalence - Mental disorders - Sex: Both - Age: All Ages (Number),"Suicide mortality rate (per 100,000 population)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Continent
Egypt,EGY,2005,5.168,2561056,10087479,3.1,11.2,Africa
Benin,BEN,2006,3.33,241356,794210,8.6,0.81,Africa
Botswana,BWA,2006,4.739,66861,196787,32,17.78,Africa
Cameroon,CMR,2006,3.851,611436,1879629,11.7,3.69,Africa
Chad,TCD,2006,3.435,339071,1027872,7.5,1.28,Africa
Ghana,GHA,2006,4.535,753848,2280488,7,4.64,Africa
Kenya,KEN,2006,4.223,1268421,3813893,6,2.77,Africa
Madagascar,MDG,2006,3.98,623967,2020168,5.8,2.84,Africa
Malawi,MWI,2006,3.83,362973,1332779,7.5,5.81,Africa
Mali,MLI,2006,4.014,317768,1189170,4.5,10.72,Africa
Mozambique,MOZ,2006,4.595,688629,2283135,12.6,2.97,Africa
Niger,NER,2006,3.737,370124,1297112,5.2,2.33,Africa
Nigeria,NGA,2006,4.71,5024143,14587866,4.7,3.69,Africa
Rwanda,RWA,2006,4.215,362447,1071260,8.4,0.9,Africa
Senegal,SEN,2006,4.417,326582,1070987,7,10.03,Africa
Sierra Leone,SLE,2006,3.628,177581,602174,6.5,3.54,Africa
South Africa,ZAF,2006,5.084,1805908,5462462,23.6,28.34,Africa
Tanzania,TZA,2006,3.922,1308357,4208750,5.3,3.3,Africa
Togo,TGO,2006,3.202,183954,604934,11,4.23,Africa
Uganda,UGA,2006,3.734,1437682,3510368,9.4,2.21,Africa
Zambia,ZMB,2006,4.824,331136,1173925,11.7,12.87,Africa
Zimbabwe,ZWE,2006,3.826,300535,1168775,14.4,4.52,Africa
Cameroon,CMR,2007,4.35,635245,1951681,11.4,3.06,Africa
Central African Republic,CAF,2007,4.16,190932,527950,15.4,4.17,Africa
Chad,TCD,2007,4.141,349743,1060746,7.7,1.29,Africa
Egypt,EGY,2007,5.541,2681995,10594338,3.1,8.8,Africa
Ghana,GHA,2007,5.22,776192,2348534,7.2,4.69,Africa
Kenya,KEN,2007,4.576,1298419,3917504,6.3,2.69,Africa
Liberia,LBR,2007,3.701,128641,401950,4.9,2.13,Africa
Malawi,MWI,2007,4.891,369049,1363885,7.8,5.7,Africa
Mauritania,MRT,2007,4.149,80352,276794,3.2,9.57,Africa
