,Entity,Code,Year,"Suicide mortality rate (per 100,000 population)",Continent,Continent_Country
40,Algeria,DZA,2000,4.5,Africa,Africa_Algeria
41,Algeria,DZA,2001,4.5,Africa,Africa_Algeria
42,Algeria,DZA,2002,4.4,Africa,Africa_Algeria
43,Algeria,DZA,2003,4.1,Africa,Africa_Algeria
44,Algeria,DZA,2004,4,Africa,Africa_Algeria
45,Algeria,DZA,2005,3.9,Africa,Africa_Algeria
46,Algeria,DZA,2006,3.7,Africa,Africa_Algeria
47,Algeria,DZA,2007,3.5,Africa,Africa_Algeria
48,Algeria,DZA,2008,3.4,Africa,Africa_Algeria
49,Algeria,DZA,2009,3.2,Africa,Africa_Algeria
50,Algeria,DZA,2010,3,Africa,Africa_Algeria
51,Algeria,DZA,2011,3,Africa,Africa_Algeria
52,Algeria,DZA,2012,2.9,Africa,Africa_Algeria
53,Algeria,DZA,2013,2.9,Africa,Africa_Algeria
54,Algeria,DZA,2014,2.8,Africa,Africa_Algeria
55,Algeria,DZA,2015,2.7,Africa,Africa_Algeria
56,Algeria,DZA,2016,2.6,Africa,Africa_Algeria
57,Algeria,DZA,2017,2.5,Africa,Africa_Algeria
58,Algeria,DZA,2018,2.5,Africa,Africa_Algeria
59,Algeria,DZA,2019,2.5,Africa,Africa_Algeria
60,Angola,AGO,2000,8.7,Africa,Africa_Angola
61,Angola,AGO,2001,8.6,Africa,Africa_Angola
62,Angola,AGO,2002,8.6,Africa,Africa_Angola
63,Angola,AGO,2003,8.8,Africa,Africa_Angola
64,Angola,AGO,2004,8.6,Africa,Africa_Angola
65,Angola,AGO,2005,8.1,Africa,Africa_Angola
66,Angola,AGO,2006,8.6,Africa,Africa_Angola
67,Angola,AGO,2007,7.4,Africa,Africa_Angola
68,Angola,AGO,2008,7.5,Africa,Africa_Angola
69,Angola,AGO,2009,6.7,Africa,Africa_Angola
70,Angola,AGO,2010,7,Africa,Africa_Angola
71,Angola,AGO,2011,6.6,Africa,Africa_Angola
72,Angola,AGO,2012,6.9,Africa,Africa_Angola
73,Angola,AGO,2013,6.9,Africa,Africa_Angola
74,Angola,AGO,2014,6.4,Africa,Africa_Angola
75,Angola,AGO,2015,6.5,Africa,Africa_Angola
76,Angola,AGO,2016,6.2,Africa,Africa_Angola
77,Angola,AGO,2017,6,Africa,Africa_Angola
78,Angola,AGO,2018,6,Africa,Africa_Angola
79,Angola,AGO,2019,6.1,Africa,Africa_Angola
340,Benin,BEN,2000,8.8,Africa,Africa_Benin
341,Benin,BEN,2001,8.8,Africa,Africa_Benin
342,Benin,BEN,2002,8.8,Africa,Africa_Benin
343,Benin,BEN,2003,8.8,Africa,Africa_Benin
344,Benin,BEN,2004,8.8,Africa,Africa_Benin
345,Benin,BEN,2005,8.7,Africa,Africa_Benin
346,Benin,BEN,2006,8.6,Africa,Africa_Benin
347,Benin,BEN,2007,8.5,Africa,Africa_Benin
348,Benin,BEN,2008,8.2,Africa,Africa_Benin
349,Benin,BEN,2009,8.5,Africa,Africa_Benin
350,Benin,BEN,2010,8.4,Africa,Africa_Benin
351,Benin,BEN,2011,8.5,Africa,Africa_Benin
352,Benin,BEN,2012,8.3,Africa,Africa_Benin
353,Benin,BEN,2013,8.3,Africa,Africa_Benin
354,Benin,BEN,2014,8.2,Africa,Africa_Benin
355,Benin,BEN,2015,8.1,Africa,Africa_Benin
356,Benin,BEN,2016,8,Africa,Africa_Benin
357,Benin,BEN,2017,8,Africa,Africa_Benin
358,Benin,BEN,2018,7.9,Africa,Africa_Benin
359,Benin,BEN,2019,7.8,Africa,Africa_Benin
420,Botswana,BWA,2000,35.3,Africa,Africa_Botswana
421,Botswana,BWA,2001,34.5,Africa,Africa_Botswana
422,Botswana,BWA,2002,32.7,Africa,Africa_Botswana
423,Botswana,BWA,2003,31.2,Africa,Africa_Botswana
424,Botswana,BWA,2004,31.8,Africa,Africa_Botswana
425,Botswana,BWA,2005,34,Africa,Africa_Botswana
426,Botswana,BWA,2006,32,Africa,Africa_Botswana
427,Botswana,BWA,2007,29.3,Africa,Africa_Botswana
428,Botswana,BWA,2008,28.4,Africa,Africa_Botswana
429,Botswana,BWA,2009,25.1,Africa,Africa_Botswana
430,Botswana,BWA,2010,24.4,Africa,Africa_Botswana
431,Botswana,BWA,2011,22.7,Africa,Africa_Botswana
432,Botswana,BWA,2012,22.6,Africa,Africa_Botswana
433,Botswana,BWA,2013,21.6,Africa,Africa_Botswana
434,Botswana,BWA,2014,19.6,Africa,Africa_Botswana
435,Botswana,BWA,2015,19,Africa,Africa_Botswana
436,Botswana,BWA,2016,17.8,Africa,Africa_Botswana
437,Botswana,BWA,2017,17.4,Africa,Africa_Botswana
438,Botswana,BWA,2018,17.4,Africa,Africa_Botswana
439,Botswana,BWA,2019,16.1,Africa,Africa_Botswana
500,Burundi,BDI,2000,11.7,Africa,Africa_Burundi
501,Burundi,BDI,2001,10.8,Africa,Africa_Burundi
502,Burundi,BDI,2002,10.2,Africa,Africa_Burundi
503,Burundi,BDI,2003,9.7,Africa,Africa_Burundi
504,Burundi,BDI,2004,9.2,Africa,Africa_Burundi
505,Burundi,BDI,2005,8.9,Africa,Africa_Burundi
506,Burundi,BDI,2006,8.9,Africa,Africa_Burundi
507,Burundi,BDI,2007,8.4,Africa,Africa_Burundi
508,Burundi,BDI,2008,7.9,Africa,Africa_Burundi
509,Burundi,BDI,2009,7.7,Africa,Africa_Burundi
510,Burundi,BDI,2010,7.6,Africa,Africa_Burundi
511,Burundi,BDI,2011,7.4,Africa,Africa_Burundi
512,Burundi,BDI,2012,7.1,Africa,Africa_Burundi
513,Burundi,BDI,2013,7,Africa,Africa_Burundi
514,Burundi,BDI,2014,6.7,Africa,Africa_Burundi
515,Burundi,BDI,2015,6.4,Africa,Africa_Burundi
516,Burundi,BDI,2016,6.4,Africa,Africa_Burundi
517,Burundi,BDI,2017,6.4,Africa,Africa_Burundi
518,Burundi,BDI,2018,6.3,Africa,Africa_Burundi
519,Burundi,BDI,2019,6.2,Africa,Africa_Burundi
540,Cameroon,CMR,2000,10.7,Africa,Africa_Cameroon
541,Cameroon,CMR,2001,10.8,Africa,Africa_Cameroon
542,Cameroon,CMR,2002,10.6,Africa,Africa_Cameroon
543,Cameroon,CMR,2003,10.8,Africa,Africa_Cameroon
544,Cameroon,CMR,2004,10.7,Africa,Africa_Cameroon
545,Cameroon,CMR,2005,11.4,Africa,Africa_Cameroon
546,Cameroon,CMR,2006,11.7,Africa,Africa_Cameroon
547,Cameroon,CMR,2007,11.4,Africa,Africa_Cameroon
548,Cameroon,CMR,2008,11.2,Africa,Africa_Cameroon
549,Cameroon,CMR,2009,11.1,Africa,Africa_Cameroon
550,Cameroon,CMR,2010,10.8,Africa,Africa_Cameroon
551,Cameroon,CMR,2011,10.8,Africa,Africa_Cameroon
552,Cameroon,CMR,2012,10.6,Africa,Africa_Cameroon
553,Cameroon,CMR,2013,10.4,Africa,Africa_Cameroon
554,Cameroon,CMR,2014,10,Africa,Africa_Cameroon
555,Cameroon,CMR,2015,9.5,Africa,Africa_Cameroon
556,Cameroon,CMR,2016,9.2,Africa,Africa_Cameroon
557,Cameroon,CMR,2017,9,Africa,Africa_Cameroon
558,Cameroon,CMR,2018,8.9,Africa,Africa_Cameroon
559,Cameroon,CMR,2019,9,Africa,Africa_Cameroon
