Entity,Code,Year,"Suicide mortality rate per 100,000 population",Continent
Egypt,EGY,2005,3.1,Africa
Benin,BEN,2006,8.6,Africa
Botswana,BWA,2006,32,Africa
Cameroon,CMR,2006,11.7,Africa
Chad,TCD,2006,7.5,Africa
Ghana,GHA,2006,7,Africa
Kenya,KEN,2006,6,Africa
Madagascar,MDG,2006,5.8,Africa
Malawi,MWI,2006,7.5,Africa
Mali,MLI,2006,4.5,Africa
Mozambique,MOZ,2006,12.6,Africa
Niger,NER,2006,5.2,Africa
Nigeria,NGA,2006,4.7,Africa
Rwanda,RWA,2006,8.4,Africa
Senegal,SEN,2006,7,Africa
Sierra Leone,SLE,2006,6.5,Africa
South Africa,ZAF,2006,23.6,Africa
Tanzania,TZA,2006,5.3,Africa
Togo,TGO,2006,11,Africa
Uganda,UGA,2006,9.4,Africa
Zambia,ZMB,2006,11.7,Africa
Zimbabwe,ZWE,2006,14.4,Africa
Cameroon,CMR,2007,11.4,Africa
Central African Republic,CAF,2007,15.4,Africa
Chad,TCD,2007,7.7,Africa
Egypt,EGY,2007,3.1,Africa
Ghana,GHA,2007,7.2,Africa
Kenya,KEN,2007,6.3,Africa
Liberia,LBR,2007,4.9,Africa
Malawi,MWI,2007,7.8,Africa
Mauritania,MRT,2007,3.2,Africa
Mozambique,MOZ,2007,12.6,Africa
Namibia,NAM,2007,17.3,Africa
Niger,NER,2007,5.3,Africa
Nigeria,NGA,2007,4.7,Africa
Senegal,SEN,2007,6.7,Africa
Sierra Leone,SLE,2007,6.4,Africa
South Africa,ZAF,2007,24.6,Africa
Tanzania,TZA,2007,5.4,Africa
Uganda,UGA,2007,8,Africa
Zambia,ZMB,2007,10.3,Africa
Zimbabwe,ZWE,2007,17.2,Africa
Benin,BEN,2008,8.2,Africa
Botswana,BWA,2008,28.4,Africa
Burundi,BDI,2008,7.9,Africa
Cameroon,CMR,2008,11.2,Africa
Chad,TCD,2008,7.5,Africa
Congo,COG,2008,8.9,Africa
Djibouti,DJI,2008,7.6,Africa
Egypt,EGY,2008,3.1,Africa
Ghana,GHA,2008,7.5,Africa
Kenya,KEN,2008,6.2,Africa
Liberia,LBR,2008,4.8,Africa
Madagascar,MDG,2008,5.7,Africa
Mali,MLI,2008,4.6,Africa
Mauritania,MRT,2008,3.1,Africa
Mozambique,MOZ,2008,13.5,Africa
Niger,NER,2008,5.2,Africa
Nigeria,NGA,2008,4.6,Africa
Rwanda,RWA,2008,7.5,Africa
